"","date","confirmed","death","recovered","active","confirmed_cum","death_cum","recovered_cum","active_cum"
"47",2020-03-08,31,0,0,31,200,0,1,199
"48",2020-03-09,39,0,0,39,239,0,1,238
"49",2020-03-10,28,0,0,28,267,0,1,266
"50",2020-03-11,47,3,0,44,314,3,1,310
"51",2020-03-12,0,0,0,0,314,3,1,310
"52",2020-03-13,245,0,0,245,559,3,1,555
"53",2020-03-14,130,1,0,129,689,4,1,684
"54",2020-03-15,197,0,0,197,886,4,1,881
"55",2020-03-16,172,1,0,171,1058,5,1,1052
"56",2020-03-17,185,5,0,180,1243,10,1,1232
"57",2020-03-18,243,4,30,209,1486,14,31,1441
"58",2020-03-19,309,7,0,302,1795,21,31,1743
"59",2020-03-20,462,16,-30,476,2257,37,1,2219
"60",2020-03-21,558,30,262,266,2815,67,263,2485
"61",2020-03-22,586,8,0,578,3401,75,263,3063
"62",2020-03-23,342,13,0,329,3743,88,263,3392
"63",2020-03-24,526,34,198,294,4269,122,461,3686
"64",2020-03-25,668,56,86,526,4937,178,547,4212
"65",2020-03-26,1298,42,128,1128,6235,220,675,5340
"66",2020-03-27,1049,69,183,797,7284,289,858,6137
"67",2020-03-28,1850,64,205,1581,9134,353,1063,7718
"68",2020-03-29,1702,78,296,1328,10836,431,1359,9046
"69",2020-03-30,1063,82,168,813,11899,513,1527,9859
"70",2020-03-31,876,192,169,515,12775,705,1696,10374
"71",2020-04-01,1189,123,436,630,13964,828,2132,11004
"72",2020-04-02,1384,183,363,838,15348,1011,2495,11842
"73",2020-04-03,1422,132,377,913,16770,1143,2872,12755
"74",2020-04-04,1661,140,375,1146,18431,1283,3247,13901
"75",2020-04-05,1260,164,504,592,19691,1447,3751,14493
"76",2020-04-06,1123,185,235,703,20814,1632,3986,15196
"77",2020-04-07,1380,403,171,806,22194,2035,4157,16002
"78",2020-04-08,1209,205,524,480,23403,2240,4681,16482
"79",2020-04-09,1580,283,483,814,24983,2523,5164,17296
"80",2020-04-10,1684,496,404,784,26667,3019,5568,18080
"81",2020-04-11,1351,327,418,606,28018,3346,5986,18686
"82",2020-04-12,1629,254,477,898,29647,3600,6463,19584
"83",2020-04-13,942,303,244,395,30589,3903,6707,19979
"84",2020-04-14,530,254,161,115,31119,4157,6868,20094
"85",2020-04-15,2454,283,239,1932,33573,4440,7107,22026
"86",2020-04-16,1236,417,455,364,34809,4857,7562,22390
"87",2020-04-17,1329,306,399,624,36138,5163,7961,23014
"88",2020-04-18,1045,290,387,368,37183,5453,8348,23382
"89",2020-04-19,1313,230,409,674,38496,5683,8757,24056
"90",2020-04-20,1487,145,138,1204,39983,5828,8895,25260
"91",2020-04-21,973,170,107,696,40956,5998,9002,25956
"92",2020-04-22,933,264,431,238,41889,6262,9433,26194
"93",2020-04-23,908,228,367,313,42797,6490,9800,26507
"94",2020-04-24,1496,189,322,985,44293,6679,10122,27492
"95",2020-04-25,1032,238,295,499,45325,6917,10417,27991
"96",2020-04-26,809,177,368,264,46134,7094,10785,28255
"97",2020-04-27,553,113,93,347,46687,7207,10878,28602
"98",2020-04-28,647,124,65,458,47334,7331,10943,29060
"99",2020-04-29,525,170,340,15,47859,7501,11283,29075
"100",2020-04-30,660,93,293,274,48519,7594,11576,29349
"101",2020-05-01,513,109,316,88,49032,7703,11892,29437
"102",2020-05-02,485,62,319,104,49517,7765,12211,29541
"103",2020-05-03,389,79,98,212,49906,7844,12309,29753
"104",2020-05-04,361,80,69,212,50267,7924,12378,29965
"105",2020-05-05,242,92,63,87,50509,8016,12441,30052
"106",2020-05-06,272,323,290,-341,50781,8339,12731,29711
"107",2020-05-07,639,76,249,314,51420,8415,12980,30025
"108",2020-05-08,591,106,221,264,52011,8521,13201,30289
"109",2020-05-09,585,60,210,315,52596,8581,13411,30604
"110",2020-05-10,485,75,231,179,53081,8656,13642,30783
"111",2020-05-11,368,51,55,262,53449,8707,13697,31045
"112",2020-05-12,330,54,35,241,53779,8761,13732,31286
"113",2020-05-13,202,82,205,-85,53981,8843,13937,31201
"114",2020-05-14,307,60,174,73,54288,8903,14111,31274
"115",2020-05-15,356,56,190,110,54644,8959,14301,31384
"116",2020-05-16,345,46,159,140,54989,9005,14460,31524
"117",2020-05-17,291,47,170,74,55280,9052,14630,31598
"118",2020-05-18,279,28,27,224,55559,9080,14657,31822
"119",2020-05-19,232,28,30,174,55791,9108,14687,31996
"120",2020-05-20,192,42,160,-10,55983,9150,14847,31986
"121",2020-05-21,252,36,141,75,56235,9186,14988,32061
"122",2020-05-22,276,26,135,115,56511,9212,15123,32176
"123",2020-05-23,299,25,32,242,56810,9237,15155,32418
"124",2020-05-24,282,43,117,122,57092,9280,15272,32540
"125",2020-05-25,250,32,25,193,57342,9312,15297,32733
"126",2020-05-26,113,22,23,68,57455,9334,15320,32801
"127",2020-05-27,137,30,145,-38,57592,9364,15465,32763
"128",2020-05-28,257,24,107,126,57849,9388,15572,32889
"129",2020-05-29,212,42,110,60,58061,9430,15682,32949
"130",2020-05-30,125,23,87,15,58186,9453,15769,32964
"131",2020-05-31,195,14,118,63,58381,9467,15887,33027
"132",2020-06-01,136,19,32,85,58517,9486,15919,33112
"133",2020-06-02,98,19,15,64,58615,9505,15934,33176
"134",2020-06-03,70,17,25,28,58685,9522,15959,33204
"135",2020-06-04,82,26,89,-33,58767,9548,16048,33171
"136",2020-06-05,140,18,64,58,58907,9566,16112,33229
"137",2020-06-06,165,14,78,73,59072,9580,16190,33302
"138",2020-06-07,154,15,101,38,59226,9595,16291,33340
"139",2020-06-08,122,11,24,87,59348,9606,16315,33427
"140",2020-06-09,89,13,9,67,59437,9619,16324,33494
"141",2020-06-10,132,10,68,54,59569,9629,16392,33548
"142",2020-06-11,142,7,61,74,59711,9636,16453,33622
"143",2020-06-12,108,10,45,53,59819,9646,16498,33675
"144",2020-06-13,99,4,49,46,59918,9650,16547,33721
"145",2020-06-14,111,5,42,64,60029,9655,16589,33785
"146",2020-06-15,71,6,21,44,60100,9661,16610,33829
"147",2020-06-16,55,2,15,38,60155,9663,16625,33867
"148",2020-06-17,89,12,59,18,60244,9675,16684,33885
"149",2020-06-18,104,8,40,56,60348,9683,16724,33941
"150",2020-06-19,128,12,27,89,60476,9695,16751,34030
"151",2020-06-20,74,1,20,53,60550,9696,16771,34083
"152",2020-06-21,0,0,0,0,60550,9696,16771,34083
"153",2020-06-22,0,0,0,0,60550,9696,16771,34083
"154",2020-06-23,260,17,0,243,60810,9713,16771,34326
"155",2020-06-24,88,9,0,79,60898,9722,16771,34405
"156",2020-06-25,109,4,119,-14,61007,9726,16890,34391
"157",2020-06-26,99,5,28,66,61106,9731,16918,34457
"158",2020-06-27,103,1,23,79,61209,9732,16941,34536
"159",2020-06-28,86,0,0,86,61295,9732,16941,34622
"160",2020-06-29,66,0,0,66,61361,9732,16941,34688
"161",2020-06-30,66,15,43,8,61427,9747,16984,34696
"162",2020-07-01,82,7,37,38,61509,9754,17021,34734
"163",2020-07-02,89,7,23,59,61598,9761,17044,34793
"164",2020-07-03,129,4,29,96,61727,9765,17073,34889
"165",2020-07-04,111,6,18,87,61838,9771,17091,34976
"166",2020-07-05,178,0,0,178,62016,9771,17091,35154
"167",2020-07-06,42,3,0,39,62058,9774,17091,35193
"168",2020-07-07,0,0,31,-31,62058,9774,17122,35162
"169",2020-07-08,65,2,16,47,62123,9776,17138,35209
"170",2020-07-09,87,2,21,64,62210,9778,17159,35273
"171",2020-07-10,147,3,20,124,62357,9781,17179,35397
"172",2020-07-11,112,1,17,94,62469,9782,17196,35491
"173",2020-07-12,238,0,0,238,62707,9782,17196,35729
"174",2020-07-13,0,0,0,0,62707,9782,17196,35729
"175",2020-07-14,74,5,27,42,62781,9787,17223,35771
"176",2020-07-15,91,1,19,71,62872,9788,17242,35842
"177",2020-07-16,366,7,11,348,63238,9795,17253,36190
"178",2020-07-17,261,5,36,220,63499,9800,17289,36410
"179",2020-07-18,207,0,0,207,63706,9800,17289,36617
"180",2020-07-19,0,0,0,0,63706,9800,17289,36617
"181",2020-07-20,388,5,32,351,64094,9805,17321,36968
"182",2020-07-21,164,0,9,155,64258,9805,17330,37123
"183",2020-07-22,369,3,17,349,64627,9808,17347,37472
"184",2020-07-23,220,4,22,194,64847,9812,17369,37666
"185",2020-07-24,352,5,25,322,65199,9817,17394,37988
"186",2020-07-25,528,4,31,493,65727,9821,17425,38481
"187",2020-07-26,299,0,13,286,66026,9821,17438,38767
"188",2020-07-27,402,1,14,387,66428,9822,17452,39154
"189",2020-07-28,234,11,24,199,66662,9833,17476,39353
"190",2020-07-29,673,3,15,655,67335,9836,17491,40008
"191",2020-07-30,671,4,22,645,68006,9840,17513,40653
"192",2020-07-31,745,1,33,711,68751,9841,17546,41364